Generation,TotalFitness
1,2316
2,2978
3,3000
4,2999
5,3000
6,2977
7,2999
8,3000
9,3000
10,3000
11,3000
12,2981
13,2995
14,3000
15,3000
16,2996
17,3000
18,3000
19,3000
20,3000
21,3000
22,3000
23,3000
24,2996
25,3000
26,2999
27,2995
28,2998
29,3000
30,2999
31,2995
32,2985
33,2982
34,3000
35,2986
36,2972
37,2981
38,2995
39,2990
40,3000
41,2996
42,2991
43,2999
44,2999
45,2995
46,3000
47,3000
48,3000
49,3000
50,3000
