Diversity,Diversity,Diversity,Diversity,Diversity,Diversity,Diversity,Diversity,Diversity,Diversity
0.01,0.13,0.99,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.01,0.04,0.90,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.83,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.85,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.01,0.03,0.83,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.84,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.83,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.04,0.81,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.84,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.84,0.99,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.82,0.99,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.83,0.99,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.84,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.84,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.84,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.85,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.83,0.99,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.83,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.84,0.99,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.83,0.99,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.82,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.84,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.84,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.01,0.03,0.84,1.00,0.99,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.84,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.82,0.99,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.83,1.00,0.99,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.85,0.99,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.83,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.82,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.84,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.83,0.99,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.84,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.82,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.83,0.99,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.83,1.00,0.99,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.83,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.82,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.82,1.00,0.99,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.84,1.00,0.99,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.83,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.82,0.99,1.00,1.00,1.00,1.00,1.00,1.00
0.01,0.03,0.82,0.99,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.83,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.02,0.82,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.84,0.99,0.99,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.86,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.84,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.85,0.99,1.00,1.00,1.00,1.00,1.00,1.00
0.00,0.03,0.84,1.00,1.00,1.00,1.00,1.00,1.00,1.00
